label,CCD,Nitro A,Nitro B,Nitro C,Total Nitro,YNO A,YNO B,YNO C,YNO Total,SUMo I,SUNO II,SUNO III,Sumo Total,Amino acid number,Number of negative amino acids,Number of positive amino acids,Molecular weight,Theoretical pI,Number of carbon atoms,Number of hydrogen atoms,Number of nitrogen atoms,Number of oxygen atoms,Number of sulphur atoms,Instability Index,Aliphatic_index,Gravy,Composition of A,Composition of R,Composition of N,Composition of D,Composition of C,Composition of Q,Composition of E,Composition of G,Composition of H,Composition of I,Composition of L,Composition of K,Composition of M,Composition of F,Composition of P,Composition of S,Composition of T,Composition of W,Composition of Y,Composition of V
1,8,0,1,0,1,0,0,1,1,0,0,0,0,466,26,39,51428.5,9.21,2374,3668,586,630,29,37.8,99.59,0.491,0.08583691,0.021459227,0.036480687,0.019313305,0.064377682,0.08583691,0.008583691,0.087982833,0.042918455,0.081545064,0.040772532,0.02360515,0.038626609,0.030042918,0.040772532,0.072961373,0.064377682,0.08583691,0.021459227,0.0472103
1,14,0,0,0,0,0,1,0,1,0,0,0,0,481,29,37,53020.7,8.8,2452,3725,607,657,25,34.34,91.46,0.372,0.091476091,0.024948025,0.031185031,0.029106029,0.079002079,0.083160083,0.018711019,0.087318087,0.04989605,0.066528067,0.027027027,0.035343035,0.03950104,0.033264033,0.027027027,0.070686071,0.068607069,0.076923077,0.024948025,0.035343035
1,26,0,1,0,1,1,1,1,3,0,0,0,0,1064,141,115,117149,5.7,5220,8269,1387,1580,44,39.66,92.42,-0.152,0.082706767,0.018796992,0.056390977,0.07612782,0.038533835,0.073308271,0.029135338,0.066729323,0.071428571,0.104323308,0.022556391,0.035714286,0.040413534,0.02443609,0.036654135,0.078947368,0.045112782,0.060150376,0.003759398,0.034774436
1,42,0,3,0,3,0,0,2,2,0,0,0,0,728,67,79,80420.1,9.28,3594,5724,982,1066,21,34.88,94.33,-0.018,0.082417582,0.005494505,0.048076923,0.043956044,0.056318681,0.06043956,0.013736264,0.06456044,0.04532967,0.107142857,0.023351648,0.048076923,0.034340659,0.031593407,0.063186813,0.101648352,0.071428571,0.065934066,0.006868132,0.026098901
1,50,0,2,0,2,0,0,1,1,0,0,0,0,1516,142,143,169079.9,7.57,7681,12092,2002,2177,55,35.85,104,0.178,0.062664908,0.012532982,0.042875989,0.050791557,0.052770449,0.061345646,0.021108179,0.065963061,0.044854881,0.121372032,0.023746702,0.0323219,0.036939314,0.0323219,0.049472296,0.098944591,0.060026385,0.085092348,0.020448549,0.024406332
1,21,0,0,0,0,1,0,2,3,0,0,0,0,663,77,76,72523.7,6.88,3228,5095,895,959,23,34.65,86.64,-0.189,0.082956259,0.012066365,0.063348416,0.052790347,0.042232278,0.09653092,0.018099548,0.055806938,0.054298643,0.088989442,0.022624434,0.036199095,0.049773756,0.030165913,0.060331825,0.067873303,0.049773756,0.075414781,0.012066365,0.028657617
1,9,0,1,0,1,0,0,0,0,1,0,0,1,463,47,55,52366.6,9,2385,3718,624,666,18,44.87,87.45,-0.177,0.073434125,0.010799136,0.043196544,0.058315335,0.058315335,0.058315335,0.025917927,0.062634989,0.069114471,0.105831533,0.028077754,0.034557235,0.062634989,0.032397408,0.049676026,0.066954644,0.060475162,0.049676026,0.010799136,0.03887689
1,60,0,0,0,0,0,0,0,0,0,0,0,0,328,27,23,35670.9,6.19,1541,2352,454,507,10,50.82,55.03,-0.716,0.057926829,0.009146341,0.045731707,0.036585366,0.036585366,0.091463415,0.030487805,0.030487805,0.024390244,0.06402439,0.021341463,0.073170732,0.067073171,0.070121951,0.045731707,0.143292683,0.06097561,0.042682927,0.018292683,0.030487805
1,55,0,1,0,1,1,0,0,1,0,0,0,0,442,42,48,47006.7,9.08,1986,3157,641,657,15,42.98,55.41,-0.845,0.076923077,0.009049774,0.027149321,0.067873303,0.027149321,0.14479638,0.020361991,0.015837104,0.040723982,0.061085973,0.024886878,0.090497738,0.056561086,0.070135747,0.067873303,0.081447964,0.033936652,0.061085973,0.004524887,0.018099548
1,83,0,0,1,1,0,0,1,1,0,0,0,0,391,38,39,42813.7,7.9,1832,2845,559,612,10,62.99,48.98,-0.874,0.086956522,0.002557545,0.040920716,0.056265985,0.033248082,0.066496164,0.030690537,0.017902813,0.033248082,0.051150895,0.023017903,0.043478261,0.063938619,0.079283887,0.066496164,0.15601023,0.061381074,0.046035806,0.012787724,0.028132992
1,44,0,1,0,1,0,1,1,2,1,0,0,1,922,153,104,103637.3,4.88,4510,7244,1226,1466,48,49.51,83.52,-0.464,0.056399132,0.013015184,0.057483731,0.10845987,0.028199566,0.057483731,0.017353579,0.056399132,0.070498915,0.096529284,0.039045553,0.047722343,0.030368764,0.043383948,0.042299349,0.080260304,0.061822126,0.062906725,0.006507592,0.023861171
1,4,0,0,0,0,1,0,0,1,0,0,0,0,154,19,15,17615,5.31,782,1241,211,239,6,50.43,96.69,-0.237,0.032467532,0.025974026,0.071428571,0.051948052,0.064935065,0.038961039,0.019480519,0.032467532,0.064935065,0.12987013,0.012987013,0.032467532,0.019480519,0.136363636,0.032467532,0.090909091,0.019480519,0.103896104,0,0.019480519
1,7,0,0,0,0,0,0,0,0,0,0,0,0,156,21,17,17475.9,5,769,1228,204,241,9,30.76,89.94,-0.163,0.057692308,0.038461538,0.083333333,0.051282051,0.057692308,0.057692308,0.006410256,0.051282051,0.076923077,0.102564103,0.019230769,0.025641026,0.012820513,0.096153846,0.032051282,0.076923077,0.044871795,0.083333333,0,0.025641026
1,4,1,1,0,2,0,0,0,0,2,0,0,2,155,22,17,17479,5.02,766,1225,207,239,10,39.05,91.74,-0.176,0.04516129,0.051612903,0.083870968,0.058064516,0.058064516,0.058064516,0.012903226,0.04516129,0.070967742,0.116129032,0.012903226,0.025806452,0.012903226,0.096774194,0.038709677,0.064516129,0.04516129,0.083870968,0,0.019354839
1,51,0,2,0,2,1,0,0,1,2,0,0,2,454,42,45,49677,8.66,2148,3447,633,681,20,48.13,71.01,-0.545,0.046255507,0.00660793,0.030837004,0.061674009,0.037444934,0.107929515,0.00660793,0.035242291,0.046255507,0.079295154,0.037444934,0.068281938,0.052863436,0.0969163,0.052863436,0.072687225,0.066079295,0.074889868,0.011013216,0.008810573
1,39,0,0,0,0,1,1,0,2,0,1,0,1,566,75,63,63304.9,5.46,2759,4342,780,881,24,47.24,72.63,-0.537,0.056537102,0.008833922,0.053003534,0.0795053,0.038869258,0.061837456,0.01590106,0.035335689,0.056537102,0.075971731,0.033568905,0.070671378,0.042402827,0.038869258,0.054770318,0.109540636,0.04770318,0.081272085,0.01590106,0.022968198
1,6,0,0,0,0,1,0,0,1,1,0,0,1,311,38,36,34684.8,6.52,1566,2467,411,457,10,42.34,90.93,-0.238,0.07073955,0.01607717,0.045016077,0.077170418,0.035369775,0.07073955,0.028938907,0.057877814,0.08681672,0.109324759,0.01607717,0.028938907,0.048231511,0.038585209,0.028938907,0.067524116,0.061093248,0.064308682,0.022508039,0.025723473
1,3,0,0,0,0,0,0,0,0,3,0,0,3,315,36,38,35136.5,8.2,1598,2504,420,453,9,38.17,92.57,-0.191,0.082539683,0.012698413,0.050793651,0.063492063,0.038095238,0.066666667,0.022222222,0.053968254,0.085714286,0.107936508,0.015873016,0.038095238,0.057142857,0.031746032,0.034920635,0.066666667,0.044444444,0.073015873,0.028571429,0.025396825
1,23,0,0,0,0,1,0,0,1,3,0,0,3,494,52,45,52687.6,5.52,2341,3757,627,706,22,34.15,96.72,0.065,0.085020243,0.020242915,0.032388664,0.072874494,0.030364372,0.109311741,0.010121457,0.068825911,0.058704453,0.097165992,0.024291498,0.046558704,0.044534413,0.030364372,0.032388664,0.070850202,0.052631579,0.08097166,0.016194332,0.016194332
1,21,0,0,0,0,0,1,0,1,0,0,0,0,478,54,51,53355.2,6.36,2395,3742,650,692,20,42.62,84.46,-0.241,0.069037657,0.016736402,0.033472803,0.079497908,0.043933054,0.077405858,0.018828452,0.056485356,0.054393305,0.094142259,0.025104603,0.041841004,0.064853556,0.039748954,0.052301255,0.073221757,0.050209205,0.064853556,0.029288703,0.014644351
1,16,0,1,0,1,0,0,0,0,0,0,0,0,488,53,53,53504.7,7.18,2403,3732,626,725,16,34.63,78.98,-0.193,0.075819672,0.012295082,0.053278689,0.055327869,0.057377049,0.079918033,0.024590164,0.053278689,0.077868852,0.090163934,0.020491803,0.024590164,0.036885246,0.026639344,0.030737705,0.120901639,0.05942623,0.053278689,0.012295082,0.034836066
1,51,0,0,0,0,0,0,1,1,0,0,0,0,740,54,83,81683.2,9.5,3631,5698,1008,1074,32,49.45,80.65,-0.2,0.060810811,0.021621622,0.033783784,0.039189189,0.043243243,0.074324324,0.017567568,0.051351351,0.05,0.098648649,0.021621622,0.041891892,0.048648649,0.031081081,0.062162162,0.145945946,0.047297297,0.055405405,0.017567568,0.037837838
1,24,0,0,0,0,0,0,1,1,0,0,0,0,500,47,40,53233.7,5.27,2341,3698,620,762,16,33.95,83.6,-0.054,0.056,0.026,0.068,0.026,0.05,0.084,0.008,0.032,0.046,0.11,0.006,0.038,0.04,0.036,0.034,0.138,0.09,0.078,0.002,0.032
1,11,0,0,0,0,0,0,0,0,0,0,0,0,470,39,38,50545.2,6.82,2246,3456,616,670,23,35.37,77.28,0.015,0.05106383,0.025531915,0.061702128,0.021276596,0.065957447,0.121276596,0.023404255,0.038297872,0.019148936,0.078723404,0.023404255,0.027659574,0.055319149,0.027659574,0.061702128,0.104255319,0.061702128,0.091489362,0.004255319,0.036170213
1,32,0,0,0,0,0,0,0,0,0,0,0,0,425,42,42,46799.8,7.15,2059,3213,587,625,19,51.68,76.09,-0.274,0.056470588,0.021176471,0.065882353,0.032941176,0.056470588,0.068235294,0.025882353,0.04,0.032941176,0.077647059,0.023529412,0.044705882,0.068235294,0.044705882,0.065882353,0.122352941,0.04,0.084705882,0.009411765,0.018823529
1,20,0,3,0,3,0,1,0,1,0,0,0,0,770,61,48,80819.9,5.13,3698,5782,900,1057,33,22.74,105.05,0.615,0.120779221,0.015584416,0.038961039,0.04025974,0.062337662,0.106493506,0.007792208,0.085714286,0.042857143,0.087012987,0.027272727,0.02987013,0.033766234,0.011688312,0.019480519,0.075324675,0.064935065,0.088311688,0.01038961,0.031168831
1,18,0,0,0,0,0,1,0,1,0,0,0,0,407,43,42,44729,6.86,1993,3134,538,597,17,31.94,89.56,-0.068,0.071253071,0.027027027,0.046683047,0.058968059,0.044226044,0.078624079,0.029484029,0.031941032,0.056511057,0.115479115,0.014742015,0.029484029,0.031941032,0.029484029,0.046683047,0.098280098,0.056511057,0.085995086,0.007371007,0.039312039
1,29,0,1,0,1,0,0,0,0,0,0,0,0,465,65,48,50998,5.17,2232,3491,619,716,17,39.65,78.02,-0.369,0.07311828,0.017204301,0.070967742,0.068817204,0.043010753,0.08172043,0.023655914,0.043010753,0.055913978,0.090322581,0.019354839,0.047311828,0.032258065,0.027956989,0.047311828,0.109677419,0.04516129,0.064516129,0.010752688,0.027956989
1,17,0,0,0,0,0,1,0,1,0,0,0,0,410,50,44,45191.2,6.13,2015,3160,540,614,13,38.53,86.54,-0.181,0.070731707,0.017073171,0.053658537,0.068292683,0.051219512,0.075609756,0.031707317,0.043902439,0.070731707,0.1,0.014634146,0.031707317,0.026829268,0.034146341,0.036585366,0.102439024,0.051219512,0.080487805,0.007317073,0.031707317
1,9,0,0,0,0,0,0,0,0,0,0,0,0,553,63,67,62530.1,8.37,2817,4418,770,795,23,41.81,92.71,-0.123,0.070524412,0.019891501,0.061482821,0.05244123,0.048824593,0.066907776,0.019891501,0.043399638,0.054249548,0.115732369,0.021699819,0.037974684,0.04159132,0.032549729,0.066907776,0.054249548,0.061482821,0.081374322,0.027124774,0.021699819
1,9,0,0,0,0,0,2,0,2,0,0,0,0,523,64,72,60351.8,8.89,2730,4286,734,766,22,47.14,90.96,-0.231,0.053537285,0.015296367,0.066921606,0.055449331,0.055449331,0.047801147,0.019120459,0.063097514,0.066921606,0.110898662,0.026768642,0.036328872,0.045889101,0.026768642,0.070745698,0.06500956,0.063097514,0.061185468,0.022944551,0.026768642
1,28,0,0,0,0,0,0,0,0,0,0,0,0,224,12,18,24020.1,9.39,1109,1732,284,295,8,29.81,104.11,0.621,0.142857143,0.017857143,0.026785714,0.026785714,0.084821429,0.0625,0.008928571,0.071428571,0.040178571,0.075892857,0.017857143,0.026785714,0.049107143,0.044642857,0.040178571,0.080357143,0.044642857,0.111607143,0.017857143,0.008928571
1,15,0,0,0,0,1,1,0,2,0,0,0,0,538,74,64,60908.1,6.05,2760,4282,714,792,24,32.12,84.78,-0.25,0.057620818,0.00929368,0.063197026,0.074349442,0.055762082,0.074349442,0.035315985,0.059479554,0.078066914,0.089219331,0.035315985,0.031598513,0.053903346,0.018587361,0.040892193,0.046468401,0.055762082,0.072490706,0.005576208,0.042750929
1,17,0,0,0,0,0,0,0,0,1,1,0,2,595,68,63,65601.7,6.42,2929,4581,805,866,21,45.01,83.38,-0.218,0.067226891,0.008403361,0.065546218,0.048739496,0.05210084,0.07394958,0.030252101,0.05210084,0.043697479,0.085714286,0.026890756,0.050420168,0.075630252,0.008403361,0.062184874,0.075630252,0.060504202,0.078991597,0.003361345,0.030252101
1,6,1,1,0,2,0,1,0,1,1,1,0,2,495,80,63,55915.9,5.26,2492,3912,654,753,26,43.75,82.73,-0.363,0.058585859,0.018181818,0.078787879,0.082828283,0.044444444,0.068686869,0.022222222,0.062626263,0.082828283,0.090909091,0.034343434,0.028282828,0.046464646,0.022222222,0.044444444,0.066666667,0.044444444,0.058585859,0.01010101,0.034343434
1,18,0,0,0,0,0,1,0,1,0,0,0,0,545,81,76,61459.7,6.2,2732,4355,747,808,27,33.88,86.57,-0.343,0.069724771,0.012844037,0.075229358,0.073394495,0.042201835,0.060550459,0.020183486,0.056880734,0.080733945,0.089908257,0.036697248,0.036697248,0.053211009,0.027522936,0.058715596,0.058715596,0.036697248,0.07706422,0.009174312,0.023853211
1,11,0,1,0,1,2,0,1,3,0,0,0,0,520,77,68,58654,6.09,2600,4129,715,784,22,40.12,85.27,-0.424,0.048076923,0.015384615,0.059615385,0.088461538,0.034615385,0.076923077,0.034615385,0.082692308,0.078846154,0.075,0.026923077,0.026923077,0.044230769,0.036538462,0.051923077,0.071153846,0.044230769,0.065384615,0.007692308,0.030769231
1,20,1,0,0,1,1,0,0,1,0,0,0,0,302,39,43,33684.8,8.66,1498,2394,410,443,14,35.51,83.81,-0.263,0.052980132,0.016556291,0.052980132,0.07615894,0.052980132,0.069536424,0.023178808,0.046357616,0.086092715,0.07615894,0.029801325,0.043046358,0.049668874,0.013245033,0.056291391,0.079470199,0.043046358,0.105960265,0,0.026490066
1,32,2,2,0,4,2,0,2,4,0,0,0,0,985,110,108,111521.4,6.77,5053,7835,1315,1442,45,40.79,89.54,-0.104,0.054822335,0.026395939,0.053807107,0.05786802,0.053807107,0.058883249,0.016243655,0.070050761,0.058883249,0.093401015,0.01928934,0.039593909,0.053807107,0.029441624,0.050761421,0.078172589,0.05786802,0.070050761,0.022335025,0.034517766
1,13,0,1,0,1,0,1,0,1,2,1,0,3,442,47,43,49845.4,6.4,2237,3407,591,662,21,42.22,74.3,-0.367,0.052036199,0.024886878,0.052036199,0.054298643,0.047511312,0.061085973,0.031674208,0.06561086,0.06561086,0.061085973,0.022624434,0.067873303,0.061085973,0.027149321,0.031674208,0.085972851,0.054298643,0.067873303,0.018099548,0.047511312
1,23,0,0,0,0,0,1,0,1,1,0,0,1,446,51,43,50218.7,6.02,2248,3426,592,675,21,42.91,73.05,-0.414,0.071748879,0.024663677,0.051569507,0.062780269,0.040358744,0.053811659,0.033632287,0.044843049,0.067264574,0.080717489,0.022421525,0.062780269,0.058295964,0.024663677,0.029147982,0.078475336,0.065022422,0.058295964,0.01793722,0.051569507
1,11,1,0,0,1,1,0,2,3,0,0,0,0,441,67,66,50599.9,6.79,2253,3574,618,671,17,38.75,83.08,-0.537,0.056689342,0.009070295,0.06122449,0.090702948,0.0430839,0.058956916,0.020408163,0.052154195,0.092970522,0.090702948,0.029478458,0.054421769,0.038548753,0.034013605,0.056689342,0.049886621,0.0430839,0.074829932,0.009070295,0.034013605
1,7,0,0,0,0,1,0,0,1,0,0,0,0,435,59,63,49017.3,8.44,2185,3467,603,639,19,40.16,87.86,-0.324,0.059770115,0.018390805,0.055172414,0.08045977,0.050574713,0.085057471,0.018390805,0.062068966,0.082758621,0.103448276,0.025287356,0.050574713,0.032183908,0.020689655,0.062068966,0.071264368,0.022988506,0.059770115,0.009195402,0.029885057
1,38,0,0,0,0,0,0,0,0,2,0,0,2,482,59,72,53514.3,9.25,2379,3803,649,717,17,32.75,77.49,-0.411,0.072614108,0.008298755,0.049792531,0.072614108,0.049792531,0.078838174,0.010373444,0.049792531,0.101659751,0.080912863,0.026970954,0.05186722,0.03526971,0.020746888,0.047717842,0.070539419,0.070539419,0.066390041,0.008298755,0.026970954
1,48,0,1,0,1,1,3,0,4,2,0,0,2,1122,132,134,125032.7,7.75,5501,8794,1526,1689,53,41.62,84.01,-0.26,0.046345811,0.016042781,0.04456328,0.073083779,0.04456328,0.071301248,0.01426025,0.051693405,0.061497326,0.085561497,0.031194296,0.048128342,0.032976827,0.037433155,0.057932264,0.102495544,0.059714795,0.08912656,0.010695187,0.021390374
1,23,0,0,0,0,0,1,0,1,0,0,0,0,185,37,24,20601.8,4.57,872,1405,245,308,11,60.26,70.54,-0.547,0.037837838,0.016216216,0.081081081,0.118918919,0.048648649,0.075675676,0,0.021621622,0.059459459,0.097297297,0.043243243,0.037837838,0,0.016216216,0.07027027,0.151351351,0.037837838,0.07027027,0,0.016216216
1,4,1,0,0,1,0,1,0,1,0,0,0,0,177,37,25,20112.5,4.66,858,1378,240,290,13,43.93,66.72,-0.72,0.062146893,0.016949153,0.096045198,0.11299435,0.050847458,0.056497175,0.005649718,0.033898305,0.079096045,0.096045198,0.056497175,0.039548023,0.02259887,0.039548023,0.062146893,0.09039548,0.033898305,0.033898305,0,0.011299435
