label,CCD,Nitro A,Nitro B,Nitro C,Total Nitro,YNO A,YNO B,YNO C,YNO Total,SUMo I,SUNO II,SUNO III,Sumo Total,Amino acid number,Number of negative amino acids,Number of positive amino acids,Molecular weight,Theoretical pI,Number of carbon atoms,Number of hydrogen atoms,Number of nitrogen atoms,Number of oxygen atoms,Number of sulphur atoms,Instability Index,Aliphatic_index,Gravy,Composition of A,Composition of R,Composition of N,Composition of D,Composition of C,Composition of Q,Composition of E,Composition of G,Composition of H,Composition of I,Composition of L,Composition of K,Composition of M,Composition of F,Composition of P,Composition of S,Composition of T,Composition of W,Composition of Y,Composition of V
1,24,1,2,0,3,0,1,2,3,2,2,0,4,650,101,82,71101.4,5.13,3106,4995,863,994,24,32.76,81.2,-0.434,0.087692308,0.010769231,0.073846154,0.081538462,0.033846154,0.084615385,0.010769231,0.067692308,0.081538462,0.067692308,0.026153846,0.050769231,0.04,0.035384615,0.044615385,0.050769231,0.06,0.067692308,0.004615385,0.02
1,26,1,2,0,3,0,2,2,4,1,1,0,2,651,102,81,71357.7,5.02,3122,5015,857,1002,24,35.37,81.23,-0.436,0.086021505,0.010752688,0.069124424,0.087557604,0.032258065,0.084485407,0.007680492,0.070660522,0.08141321,0.067588326,0.026113671,0.047619048,0.039938556,0.038402458,0.043010753,0.052227343,0.061443932,0.064516129,0.004608295,0.024577573
1,24,1,2,0,3,1,2,2,5,1,0,0,1,649,104,82,71147.6,4.96,3116,5017,855,997,23,37.87,84.64,-0.394,0.087827427,0.012326656,0.073959938,0.086286595,0.033898305,0.081664099,0.006163328,0.077041602,0.081664099,0.069337442,0.023112481,0.05238829,0.038520801,0.032357473,0.044684129,0.047765794,0.06009245,0.064714946,0.004622496,0.021571649
1,25,1,2,0,3,0,1,2,3,1,1,0,2,653,102,81,71386.7,5.03,3120,5018,864,1001,23,37.88,81.13,-0.42,0.090352221,0.010719755,0.065849923,0.090352221,0.035222052,0.087289433,0.007656968,0.067381317,0.078101072,0.067381317,0.024502297,0.047473201,0.038284839,0.039816233,0.045941807,0.047473201,0.06431853,0.067381317,0.004594181,0.019908116
1,16,0,0,0,0,0,0,0,0,0,0,0,0,209,25,23,23013.8,6.12,1031,1592,288,308,2,60.52,70.53,-0.442,0.105263158,0.004784689,0.033492823,0.086124402,0.043062201,0.066985646,0.019138756,0.028708134,0.033492823,0.071770335,0.004784689,0.009569378,0.09569378,0.038277512,0.076555024,0.090909091,0.071770335,0.071770335,0.028708134,0.019138756
1,30,1,1,0,2,2,1,1,4,3,0,0,3,858,138,113,96407.3,5.38,4225,6730,1166,1327,41,46.28,75.54,-0.564,0.071095571,0.01981352,0.057109557,0.103729604,0.043123543,0.05011655,0.01981352,0.040792541,0.090909091,0.072261072,0.027972028,0.055944056,0.05011655,0.045454545,0.040792541,0.060606061,0.044289044,0.083916084,0.004662005,0.017482517
1,20,0,0,0,0,0,0,0,0,0,1,0,1,205,26,23,22782.5,5.98,1016,1567,285,307,3,62.82,68.54,-0.567,0.082926829,0.004878049,0.048780488,0.07804878,0.034146341,0.063414634,0.024390244,0.029268293,0.034146341,0.07804878,0.009756098,0.009756098,0.102439024,0.034146341,0.07804878,0.102439024,0.068292683,0.063414634,0.029268293,0.024390244
1,12,1,0,0,1,1,4,2,7,2,0,0,2,700,143,109,80635.4,4.96,3575,5684,932,1134,24,39.53,81.6,-0.656,0.05,0.007142857,0.078571429,0.125714286,0.041428571,0.05,0.011428571,0.06,0.115714286,0.092857143,0.027142857,0.041428571,0.022857143,0.022857143,0.04,0.064285714,0.048571429,0.058571429,0.008571429,0.032857143
1,18,2,0,0,2,0,1,3,4,0,1,0,1,641,90,82,70375,5.75,3102,4997,859,967,18,32.88,87.96,-0.344,0.085803432,0.010920437,0.070202808,0.070202808,0.035881435,0.081123245,0.012480499,0.068642746,0.079563183,0.082683307,0.017160686,0.049921997,0.037441498,0.037441498,0.048361934,0.043681747,0.070202808,0.070202808,0.003120125,0.024960998
1,29,0,0,0,0,1,3,0,4,3,0,0,3,709,142,104,81406.4,4.84,3641,5798,928,1151,13,43.2,86.5,-0.575,0.060648801,0,0.06629055,0.133991537,0.046544429,0.033850494,0.005641749,0.069111425,0.108603667,0.093088858,0.018335684,0.036671368,0.038081805,0.031029619,0.038081805,0.069111425,0.056417489,0.059238364,0.007052186,0.028208745
1,52,0,0,0,0,1,0,1,2,3,0,0,3,718,101,87,76996.5,5.17,3351,5462,942,1106,11,32.54,84.3,-0.359,0.079387187,0.002785515,0.073816156,0.066852368,0.036211699,0.082172702,0.004178273,0.055710306,0.072423398,0.073816156,0.012534819,0.044568245,0.043175487,0.038997214,0.048746518,0.086350975,0.077994429,0.08913649,0.001392758,0.009749304
1,30,0,0,0,0,1,0,1,2,0,0,0,0,299,38,34,34050.7,5.84,1477,2307,425,480,11,68.92,60.54,-0.806,0.02006689,0.010033445,0.043478261,0.08361204,0.046822742,0.050167224,0.016722408,0.040133779,0.050167224,0.060200669,0.026755853,0.080267559,0.056856187,0.050167224,0.063545151,0.127090301,0.070234114,0.066889632,0.016722408,0.02006689
1,22,0,1,0,1,0,0,2,2,0,1,0,1,374,65,47,42629.9,4.84,1870,2966,500,608,14,48.25,78.13,-0.663,0.032085561,0.005347594,0.080213904,0.093582888,0.037433155,0.050802139,0.010695187,0.037433155,0.088235294,0.106951872,0.032085561,0.050802139,0.034759358,0.050802139,0.037433155,0.098930481,0.050802139,0.064171123,0.013368984,0.024064171
1,46,0,0,0,0,0,0,1,1,0,0,0,0,495,60,43,55744,5.12,2439,3786,678,785,18,59.29,65.35,-0.712,0.038383838,0.002020202,0.050505051,0.070707071,0.054545455,0.050505051,0.02020202,0.034343434,0.050505051,0.082828283,0.034343434,0.092929293,0.070707071,0.068686869,0.036363636,0.098989899,0.062626263,0.054545455,0.008080808,0.018181818
1,25,0,0,0,0,1,0,0,1,2,0,0,2,284,43,41,31327.8,6.27,1365,2143,391,440,8,43.53,62.08,-0.721,0.056338028,0.014084507,0.066901408,0.084507042,0.045774648,0.095070423,0.017605634,0.021126761,0.091549296,0.063380282,0.014084507,0.052816901,0.035211268,0.021126761,0.052816901,0.102112676,0.049295775,0.080985915,0.017605634,0.017605634
1,46,0,0,0,0,1,0,1,2,4,0,0,4,718,103,86,76508,5.07,3332,5418,938,1094,12,30.77,84.18,-0.321,0.087743733,0.002785515,0.075208914,0.068245125,0.037604457,0.096100279,0.004178273,0.051532033,0.071030641,0.072423398,0.013927577,0.038997214,0.040389972,0.040389972,0.048746518,0.075208914,0.071030641,0.093314763,0.001392758,0.009749304
1,42,1,0,0,1,2,2,0,4,4,0,0,4,831,132,105,91750,5.15,4027,6442,1096,1278,34,38.75,79.59,-0.431,0.093862816,0.016847172,0.060168472,0.098676294,0.036101083,0.057761733,0.013237064,0.046931408,0.083032491,0.075812274,0.024067389,0.036101083,0.050541516,0.039711191,0.0433213,0.068592058,0.050541516,0.077015644,0.003610108,0.024067389
1,25,0,2,0,2,1,0,1,2,0,0,0,0,401,64,49,46244.6,5.33,2008,3143,579,642,18,62.98,62.64,-0.876,0.027431421,0.014962594,0.052369077,0.10723192,0.047381546,0.029925187,0.027431421,0.029925187,0.054862843,0.077306733,0.029925187,0.059850374,0.074812968,0.054862843,0.067331671,0.117206983,0.042394015,0.06234414,0.017456359,0.004987531
1,49,0,0,0,0,0,0,1,1,1,0,0,1,377,53,38,39705,4.92,1710,2715,499,566,12,59.62,70.48,-0.439,0.111405836,0.013262599,0.042440318,0.098143236,0.029177719,0.129973475,0.01061008,0.037135279,0.042440318,0.071618037,0.018567639,0.042440318,0.050397878,0.031830239,0.058355438,0.076923077,0.050397878,0.058355438,0.01061008,0.015915119
1,28,0,0,0,0,0,0,0,0,0,1,0,1,169,22,18,18634.6,5.95,803,1258,236,262,7,63.97,57.81,-0.55,0.088757396,0.00591716,0.065088757,0.065088757,0.065088757,0.041420118,0.041420118,0.041420118,0.029585799,0.053254438,0.035502959,0.023668639,0.065088757,0.029585799,0.076923077,0.147928994,0.076923077,0.041420118,0,0.00591716
1,9,0,1,0,1,3,0,0,3,0,0,0,0,348,48,56,39133.4,9.12,1752,2735,495,509,8,45.89,67.79,-0.68,0.045977011,0.011494253,0.077586207,0.060344828,0.060344828,0.094827586,0.028735632,0.057471264,0.083333333,0.066091954,0.011494253,0.028735632,0.086206897,0.017241379,0.077586207,0.051724138,0.054597701,0.051724138,0.002873563,0.031609195
1,16,2,0,0,2,1,1,3,5,0,1,0,1,641,91,84,70637.2,5.9,3100,4991,865,972,22,33.12,83.71,-0.403,0.087363495,0.010920437,0.070202808,0.071762871,0.035881435,0.076443058,0.014040562,0.067082683,0.081123245,0.076443058,0.023400936,0.051482059,0.035881435,0.035881435,0.049921997,0.048361934,0.070202808,0.065522621,0.003120125,0.024960998
1,6,0,0,0,0,0,0,0,0,1,0,0,1,142,19,14,16093.2,5.19,714,1121,199,217,4,55.94,85.28,-0.499,0.077464789,0,0.042253521,0.091549296,0.049295775,0.056338028,0.021126761,0.063380282,0.042253521,0.11971831,0.028169014,0.070422535,0.063380282,0.063380282,0.056338028,0.070422535,0.035211268,0.021126761,0.014084507,0.014084507
1,33,0,1,0,1,0,0,0,0,4,0,0,4,529,68,46,57260.5,5.02,2519,3992,680,807,17,61.21,80.36,-0.387,0.062381853,0.009451796,0.06805293,0.060491493,0.032136106,0.054820416,0.024574669,0.032136106,0.051039698,0.111531191,0.02268431,0.028355388,0.100189036,0.043478261,0.035916824,0.132325142,0.047258979,0.062381853,0.005671078,0.015122873
1,9,0,0,0,0,0,0,0,0,0,0,0,0,214,33,28,23879.6,5.31,1065,1651,289,334,1,48.11,75.09,-0.688,0.051401869,0,0.098130841,0.056074766,0.051401869,0.070093458,0.014018692,0.042056075,0.093457944,0.074766355,0.004672897,0.08411215,0.065420561,0.023364486,0.037383178,0.074766355,0.03271028,0.08411215,0.009345794,0.03271028
1,13,0,0,0,0,3,2,1,6,0,0,0,0,624,111,83,71422.5,5.09,3174,4994,862,986,13,35.33,85.82,-0.524,0.075320513,0,0.081730769,0.096153846,0.041666667,0.048076923,0.022435897,0.049679487,0.073717949,0.105769231,0.020833333,0.030448718,0.025641026,0.038461538,0.059294872,0.070512821,0.054487179,0.060897436,0.016025641,0.028846154
1,33,2,0,0,2,0,2,3,5,0,0,0,0,650,95,82,71240.5,5.37,3125,5020,864,998,18,37.59,81.02,-0.454,0.076923077,0.006153846,0.070769231,0.075384615,0.036923077,0.084615385,0.010769231,0.067692308,0.083076923,0.067692308,0.021538462,0.052307692,0.04,0.04,0.043076923,0.053846154,0.072307692,0.070769231,0.003076923,0.023076923
1,10,0,0,0,0,3,0,0,3,0,0,0,0,340,50,54,38044.1,8.74,1687,2651,479,505,10,50.32,64.79,-0.715,0.044117647,0.008823529,0.067647059,0.079411765,0.058823529,0.108823529,0.017647059,0.064705882,0.082352941,0.052941176,0.020588235,0.035294118,0.076470588,0.023529412,0.076470588,0.052941176,0.05,0.05,0.002941176,0.026470588
1,21,0,0,0,0,0,1,0,1,1,0,0,1,492,61,49,53011.2,5.29,2344,3737,665,710,13,69.15,83.27,-0.43,0.067073171,0.010162602,0.044715447,0.079268293,0.026422764,0.101626016,0.014227642,0.024390244,0.028455285,0.134146341,0.016260163,0.018292683,0.12804878,0.052845528,0.071138211,0.081300813,0.030487805,0.050813008,0.010162602,0.010162602
1,30,1,0,0,1,0,2,3,5,0,1,0,1,643,94,84,71028.1,5.81,3103,4976,896,976,18,38.39,80.86,-0.46,0.088646967,0.01244168,0.065318818,0.080870918,0.038880249,0.079315708,0.018662519,0.046656299,0.060653188,0.082426128,0.0155521,0.035769829,0.038880249,0.046656299,0.069984448,0.052877138,0.066874028,0.074650078,0.00311042,0.021772939
1,38,0,0,0,0,0,1,1,2,3,1,0,4,638,105,75,69114.9,4.83,3001,4903,843,988,16,34.15,88.57,-0.409,0.109717868,0.001567398,0.086206897,0.078369906,0.023510972,0.073667712,0.012539185,0.068965517,0.078369906,0.07523511,0.023510972,0.040752351,0.036050157,0.05799373,0.039184953,0.039184953,0.068965517,0.073667712,0.001567398,0.010971787
1,19,1,0,0,1,2,3,0,5,0,3,0,3,733,152,110,84787.8,4.93,3735,5956,986,1203,27,41.88,79.52,-0.741,0.045020464,0.009549795,0.072305593,0.135061392,0.035470668,0.043656207,0.016371078,0.068212824,0.109140518,0.084583902,0.02728513,0.040927694,0.028649386,0.034106412,0.040927694,0.058663029,0.058663029,0.053206003,0.005457026,0.032742156
1,18,0,0,0,0,3,5,0,8,2,0,0,2,724,147,107,83281.2,4.96,3676,5853,973,1175,25,42.56,81.19,-0.678,0.051104972,0.008287293,0.069060773,0.133977901,0.035911602,0.046961326,0.017955801,0.066298343,0.10359116,0.085635359,0.026243094,0.037292818,0.031767956,0.029005525,0.044198895,0.067679558,0.048342541,0.05801105,0.005524862,0.033149171
1,33,2,0,0,2,0,2,3,5,0,0,0,0,646,95,82,70871,5.37,3110,4997,859,994,17,37.05,81.52,-0.452,0.077399381,0.00619195,0.07120743,0.075851393,0.037151703,0.082043344,0.010835913,0.068111455,0.083591331,0.068111455,0.020123839,0.051083591,0.03869969,0.040247678,0.043343653,0.055727554,0.072755418,0.07120743,0.003095975,0.023219814
1,5,0,0,0,0,5,0,0,5,0,0,0,0,337,51,55,37806.8,8.65,1677,2628,470,505,11,49.59,65.13,-0.708,0.047477745,0.011869436,0.074183976,0.077151335,0.059347181,0.103857567,0.017804154,0.080118694,0.091988131,0.050445104,0.020771513,0.03264095,0.065281899,0.017804154,0.071216617,0.074183976,0.035608309,0.03264095,0.002967359,0.03264095
1,26,0,0,0,0,1,3,0,4,3,0,0,3,705,142,100,80899.7,4.77,3619,5752,922,1144,13,42.83,87.13,-0.556,0.062411348,0,0.065248227,0.136170213,0.04822695,0.035460993,0.005673759,0.066666667,0.103546099,0.096453901,0.018439716,0.039716312,0.038297872,0.031205674,0.038297872,0.063829787,0.056737589,0.059574468,0.007092199,0.026950355
1,61,1,6,0,7,1,6,1,8,4,2,0,6,2144,254,227,242370.2,6.11,11003,17653,2801,3152,86,42.68,111.44,0.059,0.061567164,0.017723881,0.040578358,0.077891791,0.045708955,0.032182836,0.025186567,0.067164179,0.078358209,0.149720149,0.02238806,0.036847015,0.041511194,0.049906716,0.027518657,0.077891791,0.046641791,0.07136194,0.008395522,0.021455224
