label,CCD,Nitro A,Nitro B,Nitro C,Total Nitro,YNO A,YNO B,YNO C,YNO Total,SUMo I,SUNO II,SUNO III,Sumo Total,Amino acid number,Number of negative amino acids,Number of positive amino acids,Molecular weight,Theoretical pI,Number of carbon atoms,Number of hydrogen atoms,Number of nitrogen atoms,Number of oxygen atoms,Number of sulphur atoms,Instability Index,Aliphatic_index,Gravy,Composition of A,Composition of R,Composition of N,Composition of D,Composition of C,Composition of Q,Composition of E,Composition of G,Composition of H,Composition of I,Composition of L,Composition of K,Composition of M,Composition of F,Composition of P,Composition of S,Composition of T,Composition of W,Composition of Y,Composition of V
1,52,0,2,0,2,0,0,0,0,1,0,0,1,1027,101,100,114412.9,7,5143,7962,1362,1498,49,39.22,86.36,-0.028,0.076923077,0.036027264,0.038948393,0.0593963,0.065238559,0.062317429,0.019474197,0.075949367,0.049659202,0.086660175,0.011684518,0.048685492,0.041869523,0.031158715,0.047711782,0.089581305,0.06134372,0.052580331,0.014605648,0.030185005
1,21,0,1,0,1,0,0,0,0,1,0,0,1,463,51,44,49904.6,5.8,2234,3581,591,663,18,34.98,98.06,0.079,0.086393089,0.010799136,0.043196544,0.066954644,0.032397408,0.082073434,0.019438445,0.07775378,0.064794816,0.064794816,0.028077754,0.03887689,0.056155508,0.032397408,0.030237581,0.062634989,0.056155508,0.11663067,0.010799136,0.019438445
1,13,0,0,0,0,0,0,1,1,1,0,0,1,129,20,15,13135.4,5.22,557,895,157,199,5,36.93,52.48,-0.67,0.170542636,0.007751938,0.046511628,0.108527132,0.015503876,0.124031008,0.023255814,0.007751938,0.11627907,0.054263566,0.031007752,0.023255814,0.031007752,0.031007752,0,0.093023256,0.054263566,0.03875969,0,0.023255814
1,10,0,0,0,0,0,1,0,1,0,0,0,0,292,20,22,32936.2,8.2,1544,2399,359,400,17,39.81,115.38,0.688,0.065068493,0.017123288,0.01369863,0.054794521,0.078767123,0.034246575,0.020547945,0.078767123,0.051369863,0.106164384,0.04109589,0.034246575,0.047945205,0.020547945,0.023972603,0.085616438,0.047945205,0.126712329,0.010273973,0.04109589
1,8,0,1,0,1,0,0,0,0,0,0,0,0,195,24,18,19819,5.72,836,1282,254,302,3,12.65,30.62,-1.112,0.061538462,0.005128205,0.056410256,0.066666667,0.005128205,0.251282051,0.041025641,0.030769231,0.061538462,0.020512821,0.01025641,0.01025641,0.046153846,0.056410256,0.030769231,0.041025641,0.128205128,0.015384615,0,0.061538462
1,8,0,0,0,0,1,1,0,2,1,0,0,1,344,44,38,39595.7,5.54,1817,2782,446,511,17,30.98,87.53,-0.235,0.069767442,0.01744186,0.063953488,0.063953488,0.031976744,0.043604651,0.014534884,0.046511628,0.075581395,0.093023256,0.031976744,0.034883721,0.075581395,0.031976744,0.034883721,0.031976744,0.055232558,0.090116279,0.020348837,0.072674419
1,4,0,0,0,0,0,1,0,1,0,0,0,0,335,43,35,38515.2,5.56,1770,2681,437,497,15,44.97,83.76,-0.303,0.068656716,0.017910448,0.059701493,0.068656716,0.041791045,0.050746269,0.023880597,0.047761194,0.08358209,0.080597015,0.026865672,0.044776119,0.071641791,0.044776119,0.020895522,0.029850746,0.03880597,0.092537313,0.020895522,0.065671642
1,5,1,0,0,1,1,0,0,1,0,0,0,0,366,27,23,40148.9,5.6,1810,2801,473,528,16,35.64,96.23,0.113,0.087431694,0.019125683,0.040983607,0.032786885,0.051912568,0.079234973,0.010928962,0.071038251,0.021857923,0.106557377,0.024590164,0.076502732,0.054644809,0.046448087,0.040983607,0.06557377,0.049180328,0.06284153,0.00273224,0.054644809
1,16,0,0,0,0,0,0,0,0,2,0,0,2,257,42,32,28820.4,5.14,1269,1956,342,396,15,49.22,61.09,-0.646,0.06614786,0.035019455,0.062256809,0.101167315,0.046692607,0.081712062,0.019455253,0.031128405,0.089494163,0.062256809,0.023346304,0.038910506,0.054474708,0.038910506,0.035019455,0.058365759,0.046692607,0.062256809,0.019455253,0.027237354
1,12,0,0,0,0,0,0,0,0,0,1,0,1,193,20,26,21019.6,8.95,905,1432,272,284,11,61.01,61.61,-0.592,0.056994819,0.03626943,0.051813472,0.051813472,0.031088083,0.098445596,0.051813472,0.010362694,0.077720207,0.082901554,0.020725389,0.031088083,0.041450777,0.020725389,0.056994819,0.129533679,0.046632124,0.067357513,0.005181347,0.031088083
1,11,0,0,0,0,0,1,0,1,0,0,0,0,507,19,27,55273.2,9.42,2619,4012,620,665,14,27.99,117.34,0.766,0.090729783,0.001972387,0.015779093,0.021696252,0.084812623,0.096646943,0.009861933,0.096646943,0.031558185,0.122287968,0.025641026,0.037475345,0.039447732,0.041420118,0.021696252,0.07495069,0.053254438,0.078895464,0.027613412,0.027613412
1,14,0,0,0,0,0,1,0,1,1,0,0,1,259,26,30,28792,8.8,1281,2045,353,380,10,37.46,87.68,-0.31,0.046332046,0.015444015,0.042471042,0.057915058,0.042471042,0.065637066,0.030888031,0.077220077,0.073359073,0.092664093,0.023166023,0.069498069,0.065637066,0.027027027,0.042471042,0.081081081,0.061776062,0.057915058,0.003861004,0.023166023
1,11,0,0,0,0,0,0,0,0,0,0,0,0,319,49,52,35454.8,8.55,1524,2457,465,484,13,40.45,64.08,-0.811,0.037617555,0.012539185,0.059561129,0.094043887,0.043887147,0.112852665,0.018808777,0.037617555,0.081504702,0.056426332,0.028213166,0.059561129,0.043887147,0.031347962,0.081504702,0.065830721,0.040752351,0.081504702,0.003134796,0.009404389
1,21,0,0,0,0,0,0,0,0,0,0,0,0,245,24,25,26471,7.7,1118,1774,350,379,9,51.38,59.31,-0.785,0.057142857,0.024489796,0.036734694,0.06122449,0.020408163,0.089795918,0.040816327,0.020408163,0.044897959,0.07755102,0.012244898,0.081632653,0.048979592,0.040816327,0.057142857,0.134693878,0.069387755,0.053061224,0.008163265,0.020408163
1,38,0,0,0,0,0,0,0,0,1,1,0,2,273,29,33,29795.7,8.67,1296,2086,378,407,10,72.68,73.63,-0.611,0.054945055,0.021978022,0.04029304,0.065934066,0.021978022,0.065934066,0.051282051,0.054945055,0.076923077,0.095238095,0.014652015,0.029304029,0.080586081,0.04029304,0.043956044,0.131868132,0.058608059,0.032967033,0.003663004,0.014652015
1,19,0,1,0,1,0,0,1,1,0,0,0,0,617,63,60,67314.8,6.36,3024,4738,798,902,19,33.3,92.11,-0.012,0.077795786,0.012965964,0.045380875,0.056726094,0.051863857,0.085899514,0.01458671,0.056726094,0.053484603,0.095623987,0.017828201,0.048622366,0.042139384,0.027552674,0.04376013,0.095623987,0.040518639,0.085899514,0.003241491,0.04376013
1,27,0,0,0,0,0,0,2,2,1,0,0,1,335,56,46,37702.5,5.17,1626,2519,473,537,13,48.59,52.96,-0.986,0.053731343,0.020895522,0.080597015,0.086567164,0.032835821,0.086567164,0.011940299,0.017910448,0.071641791,0.059701493,0.017910448,0.044776119,0.047761194,0.053731343,0.065671642,0.092537313,0.041791045,0.059701493,0.020895522,0.032835821
1,33,0,0,0,0,0,0,2,2,2,0,0,2,330,53,36,37116.9,5.02,1607,2488,460,528,13,52.72,60.85,-0.905,0.054545455,0.027272727,0.063636364,0.096969697,0.024242424,0.075757576,0.027272727,0.027272727,0.06969697,0.06969697,0.012121212,0.045454545,0.051515152,0.081818182,0.039393939,0.078787879,0.045454545,0.060606061,0.024242424,0.024242424
1,52,0,1,0,1,0,0,0,0,4,0,0,4,1188,123,151,130716.3,8.54,5551,8848,1726,1718,108,58.03,61.78,-0.601,0.057239057,0.080808081,0.051346801,0.052188552,0.019360269,0.066498316,0.035353535,0.033670034,0.051346801,0.063131313,0.01010101,0.048821549,0.089225589,0.042087542,0.075757576,0.088383838,0.044612795,0.063131313,0.012626263,0.014309764
1,11,0,1,0,1,0,0,3,3,0,0,0,0,231,25,32,26742.7,8.99,1153,1807,345,368,11,51.45,56.97,-1.026,0.03030303,0.03030303,0.043290043,0.064935065,0.03030303,0.038961039,0.038961039,0.038961039,0.073593074,0.073593074,0.017316017,0.086580087,0.043290043,0.056277056,0.064935065,0.108225108,0.069264069,0.034632035,0.004329004,0.051948052
1,20,1,1,0,2,0,2,0,2,1,0,0,1,832,79,83,92912.5,8.37,4227,6647,1115,1189,25,32.24,104.33,0.172,0.063701923,0.010817308,0.043269231,0.051682692,0.058894231,0.0625,0.028846154,0.070913462,0.046875,0.106971154,0.019230769,0.039663462,0.034855769,0.025240385,0.052884615,0.085336538,0.058894231,0.098557692,0.012019231,0.028846154
1,10,0,0,0,0,0,0,0,0,0,1,0,1,214,30,25,22759.7,5.34,1001,1618,280,316,4,27.14,93.22,-0.167,0.158878505,0.004672897,0.060747664,0.079439252,0.028037383,0.088785047,0.014018692,0.074766355,0.070093458,0.088785047,0.014018692,0.042056075,0.028037383,0.023364486,0.046728972,0.051401869,0.051401869,0.046728972,0.004672897,0.023364486
1,6,0,0,0,0,0,0,0,0,0,1,0,1,271,36,46,31026.7,9.14,1370,2181,383,404,17,40.71,72.44,-0.613,0.070110701,0.025830258,0.036900369,0.095940959,0.033210332,0.070110701,0.018450185,0.073800738,0.099630996,0.077490775,0.036900369,0.04797048,0.040590406,0.011070111,0.070110701,0.070110701,0.040590406,0.022140221,0.007380074,0.051660517
1,2,0,1,0,1,0,2,0,2,0,0,0,0,274,40,40,31929.7,6.9,1441,2239,355,428,17,23.11,78.94,-0.436,0.03649635,0.018248175,0.062043796,0.083941606,0.054744526,0.047445255,0.01459854,0.091240876,0.131386861,0.058394161,0.04379562,0.076642336,0.01459854,0.010948905,0.01459854,0.069343066,0.040145985,0.058394161,0.003649635,0.069343066
1,19,0,0,0,0,0,1,0,1,3,0,0,3,497,62,51,54270.2,5.29,2453,3836,636,718,17,31.41,91.07,-0.023,0.098591549,0.022132797,0.050301811,0.07444668,0.042253521,0.076458753,0.012072435,0.07444668,0.06639839,0.072434608,0.012072435,0.028169014,0.060362173,0.026156942,0.036217304,0.064386318,0.054325956,0.08249497,0.026156942,0.020120724
1,19,1,0,0,1,0,2,0,2,1,0,0,1,511,71,62,57348,5.79,2513,3993,705,781,24,41.83,80.88,-0.475,0.058708415,0.011741683,0.054794521,0.084148728,0.035225049,0.060665362,0.021526419,0.045009785,0.064579256,0.097847358,0.035225049,0.068493151,0.048923679,0.023483366,0.056751468,0.091976517,0.039138943,0.066536204,0.009784736,0.025440313
1,2,0,0,0,0,0,0,0,0,0,0,0,0,260,27,27,28677.4,7.12,1297,1983,347,378,6,21.79,73.19,-0.414,0.076923077,0.011538462,0.065384615,0.038461538,0.05,0.073076923,0.034615385,0.042307692,0.069230769,0.088461538,0.011538462,0.034615385,0.088461538,0.034615385,0.034615385,0.084615385,0.061538462,0.05,0.023076923,0.026923077
1,35,0,0,0,0,0,3,0,3,5,1,0,6,710,168,78,77855.7,4.45,3342,5172,912,1215,9,53.32,48.82,-1.087,0.042253521,0,0.084507042,0.152112676,0.04084507,0.090140845,0.026760563,0.016901408,0.077464789,0.045070423,0.012676056,0.023943662,0.069014085,0.029577465,0.032394366,0.095774648,0.073239437,0.070422535,0.002816901,0.014084507
1,67,0,0,0,0,0,1,0,1,0,0,0,0,372,17,30,38554.2,9.72,1659,2609,515,511,19,58.79,58.44,-0.492,0.14516129,0.010752688,0.024193548,0.021505376,0.016129032,0.13172043,0.040322581,0.01344086,0.037634409,0.067204301,0.040322581,0.024193548,0.077956989,0.10483871,0.043010753,0.096774194,0.024193548,0.043010753,0.008064516,0.029569892
1,7,0,1,0,1,0,0,0,0,1,0,0,1,559,78,62,61183.4,5.39,2712,4274,748,826,19,31.19,85.12,-0.294,0.08765653,0.005366726,0.069767442,0.069767442,0.033989267,0.098389982,0.023255814,0.050089445,0.062611807,0.080500894,0.02862254,0.044722719,0.046511628,0.02862254,0.048300537,0.046511628,0.046511628,0.08765653,0.010733453,0.030411449
1,12,0,0,0,0,0,0,0,0,0,0,0,0,209,19,24,23154.5,9.06,1014,1644,294,305,10,44.8,93.88,-0.272,0.057416268,0.023923445,0.066985646,0.023923445,0.038277512,0.052631579,0.038277512,0.028708134,0.052631579,0.186602871,0.023923445,0.038277512,0.052631579,0.04784689,0.062200957,0.133971292,0.043062201,0.014354067,0.004784689,0.009569378
1,1,0,0,0,0,0,0,0,0,1,0,0,1,149,21,21,16026.2,6.34,676,1023,219,226,6,37.6,33.42,-0.995,0.046979866,0.013422819,0.073825503,0.067114094,0.046979866,0.261744966,0,0.040268456,0.020134228,0.013422819,0.026845638,0.040268456,0,0.033557047,0.120805369,0.053691275,0.040268456,0.026845638,0.013422819,0.060402685
1,50,0,2,0,2,0,1,0,1,1,1,0,2,1176,155,135,131860,5.9,5821,9295,1599,1766,60,46.49,89.68,-0.213,0.06122449,0.022108844,0.047619048,0.084183673,0.039965986,0.06037415,0.024659864,0.06037415,0.06037415,0.099489796,0.028911565,0.036564626,0.033163265,0.037414966,0.054421769,0.084183673,0.06037415,0.073129252,0.012755102,0.018707483
1,35,0,1,0,1,0,1,0,1,2,0,0,2,1036,122,119,116373.2,6.84,5216,8257,1409,1512,46,41.31,91.7,-0.139,0.058880309,0.010617761,0.05019305,0.067567568,0.049227799,0.062741313,0.025096525,0.063706564,0.062741313,0.094594595,0.033783784,0.036679537,0.046332046,0.037644788,0.052123552,0.083011583,0.048262548,0.083011583,0.016409266,0.017374517
1,30,0,3,0,3,0,0,0,0,0,0,0,0,608,82,72,66024.3,5.49,2878,4606,820,918,20,47.98,81.74,-0.373,0.055921053,0.016447368,0.070723684,0.064144737,0.032894737,0.098684211,0.011513158,0.050986842,0.050986842,0.090460526,0.016447368,0.03125,0.054276316,0.032894737,0.067434211,0.108552632,0.044407895,0.072368421,0.008223684,0.021381579
1,12,0,0,0,0,0,1,2,3,0,0,0,0,433,62,53,49186,5.55,2184,3466,584,673,16,36.89,93.79,-0.4,0.025404157,0.020785219,0.076212471,0.066974596,0.020785219,0.053117783,0.018475751,0.099307159,0.076212471,0.083140878,0.016166282,0.064665127,0.050808314,0.020785219,0.046189376,0.090069284,0.043879908,0.069284065,0.011547344,0.046189376
1,8,0,1,0,1,0,1,1,2,0,0,0,0,430,77,40,45966.6,4.31,2016,3221,549,656,10,27.13,99.47,-0.025,0.134883721,0.006976744,0.111627907,0.06744186,0.03255814,0.081395349,0.006976744,0.065116279,0.030232558,0.1,0.01627907,0.025581395,0.039534884,0.013953488,0.062790698,0.048837209,0.055813953,0.074418605,0.004651163,0.020930233
1,13,1,2,0,3,0,0,0,0,0,0,0,0,323,24,24,34436.1,7.06,1559,2452,406,438,17,31.67,103.22,0.466,0.095975232,0.024767802,0.030959752,0.043343653,0.046439628,0.108359133,0.024767802,0.083591331,0.043343653,0.080495356,0.027863777,0.027863777,0.030959752,0.021671827,0.030959752,0.080495356,0.052631579,0.102167183,0.021671827,0.021671827
1,14,0,2,0,2,0,0,0,0,0,0,0,0,323,25,24,34480.1,6.65,1562,2456,404,440,17,30.45,102.6,0.45,0.092879257,0.024767802,0.034055728,0.043343653,0.046439628,0.105263158,0.021671827,0.080495356,0.043343653,0.080495356,0.027863777,0.027863777,0.037151703,0.021671827,0.030959752,0.077399381,0.055727554,0.105263158,0.021671827,0.021671827
1,8,0,2,0,2,0,0,0,0,0,0,0,0,570,36,41,61863.8,8.41,2860,4501,699,776,24,40.54,120.7,0.659,0.054385965,0.026315789,0.038596491,0.024561404,0.063157895,0.089473684,0.014035088,0.077192982,0.036842105,0.159649123,0.015789474,0.024561404,0.040350877,0.019298246,0.035087719,0.115789474,0.040350877,0.078947368,0.012280702,0.033333333
1,5,0,0,0,0,0,0,0,0,1,0,0,1,380,17,18,42998,7.8,2057,3101,475,502,15,32.74,121.13,0.712,0.060526316,0.007894737,0.028947368,0.015789474,0.081578947,0.065789474,0.034210526,0.110526316,0.026315789,0.15,0.031578947,0.044736842,0.057894737,0.015789474,0.021052632,0.063157895,0.065789474,0.047368421,0.031578947,0.039473684
1,12,0,0,0,0,0,1,0,1,1,0,0,1,484,67,52,53514.4,5.31,2399,3718,638,729,11,26.68,80.79,-0.308,0.078512397,0.006198347,0.066115702,0.07231405,0.064049587,0.078512397,0.022727273,0.04338843,0.070247934,0.08677686,0.016528926,0.053719008,0.045454545,0.02892562,0.037190083,0.064049587,0.055785124,0.076446281,0.008264463,0.024793388
1,16,0,1,0,1,0,2,0,2,2,0,0,2,211,27,27,23494.5,6.89,1029,1624,284,323,11,64.49,70.62,-0.482,0.033175355,0.033175355,0.071090047,0.056872038,0.052132701,0.061611374,0.018957346,0.047393365,0.08056872,0.075829384,0.018957346,0.037914692,0.056872038,0.037914692,0.047393365,0.132701422,0.042654028,0.066350711,0.009478673,0.018957346
1,26,0,0,0,0,1,1,1,3,3,0,0,3,623,98,72,66832.2,4.8,2912,4743,793,972,13,27.51,86.61,-0.368,0.099518459,0.001605136,0.083467095,0.073836276,0.027287319,0.083467095,0.006420546,0.080256822,0.08988764,0.062600321,0.019261637,0.051364366,0.030497592,0.041733547,0.025682183,0.04975923,0.083467095,0.07223114,0,0.017656501
1,13,0,1,0,1,0,0,1,1,2,1,0,3,341,59,38,37829.6,4.67,1627,2532,470,546,13,43.01,64.93,-0.775,0.058651026,0.020527859,0.079178886,0.093841642,0.029325513,0.102639296,0.011730205,0.046920821,0.046920821,0.06744868,0.017595308,0.052785924,0.04398827,0.046920821,0.064516129,0.082111437,0.038123167,0.049853372,0.014662757,0.032258065
1,6,0,0,0,0,0,2,0,2,0,0,0,0,167,15,14,18741.5,6.4,882,1320,208,240,2,33.84,100.42,0.168,0.089820359,0,0.05988024,0.02994012,0.047904192,0.05988024,0.023952096,0.053892216,0.05988024,0.113772455,0.011976048,0.023952096,0.053892216,0.011976048,0.023952096,0.095808383,0.041916168,0.089820359,0.02994012,0.077844311
1,1,0,0,0,0,0,0,0,0,1,0,0,1,116,9,10,13475.9,7.94,649,988,146,161,2,34.44,124.4,0.445,0.086206897,0,0.017241379,0.060344828,0.043103448,0.025862069,0.017241379,0.068965517,0.068965517,0.163793103,0.017241379,0.00862069,0.051724138,0.043103448,0.017241379,0.077586207,0.034482759,0.086206897,0.051724138,0.060344828
1,4,0,0,0,0,0,0,0,0,0,0,0,0,209,23,21,23354.8,6.21,1045,1644,284,303,10,35.98,93.83,-0.118,0.081339713,0.023923445,0.052631579,0.057416268,0.028708134,0.062200957,0.023923445,0.052631579,0.04784689,0.124401914,0.023923445,0.04784689,0.052631579,0.023923445,0.052631579,0.062200957,0.071770335,0.057416268,0.033492823,0.019138756
1,74,0,0,0,0,0,1,0,1,0,0,0,0,719,76,77,79415.8,7.77,3376,5456,1024,1147,21,48.29,71.39,-0.802,0.055632823,0.002781641,0.058414465,0.0472879,0.020862309,0.052851182,0.022253129,0.061196106,0.057023644,0.084840056,0.026425591,0.11821975,0.043115438,0.050069541,0.050069541,0.112656467,0.083449235,0.030598053,0.004172462,0.018080668
1,13,0,0,0,0,2,0,0,2,0,0,0,0,357,47,39,39149.2,5.79,1732,2747,477,538,9,30.42,93.14,-0.23,0.072829132,0.016806723,0.078431373,0.053221289,0.036414566,0.081232493,0.030812325,0.070028011,0.070028011,0.098039216,0.008403361,0.044817927,0.025210084,0.033613445,0.039215686,0.084033613,0.050420168,0.070028011,0.008403361,0.028011204
1,7,0,0,0,0,0,1,0,1,0,0,0,0,396,54,43,43216.1,5.58,1919,3021,521,584,15,23.06,84.19,-0.256,0.075757576,0.02020202,0.083333333,0.053030303,0.032828283,0.095959596,0.03030303,0.070707071,0.068181818,0.065656566,0.017676768,0.025252525,0.055555556,0.03030303,0.04040404,0.04040404,0.073232323,0.080808081,0.01010101,0.03030303
1,4,1,0,0,1,0,1,0,1,1,0,0,1,393,56,45,42960.7,5.59,1900,2996,522,583,15,26.37,80.84,-0.315,0.073791349,0.017811705,0.078880407,0.063613232,0.03562341,0.096692112,0.030534351,0.061068702,0.071246819,0.061068702,0.020356234,0.027989822,0.050890585,0.027989822,0.043256997,0.043256997,0.071246819,0.089058524,0.010178117,0.025445293
